Condition,Number,Area
K3FeCN6,23,15.555361481501757
MesAcr+BF4-,20,12.859896582690517
CuCl,19,1.5470327764155005
Diacetyl,12,2.293415186789905
T(p-OMe)PPCo,9,10.850191230375705
Electrode,9,6.096427416342422
AllPhenols,4665,61.30146203284382
