Condition,Number,"radius=2,
nBits=2048","radius=2,
nBits=4096","radius=3,
nBits=2048","radius=3,
nBits=4096","radius=4,
nBits=2048","radius=4,
nBits=4096"
K3FeCN6,23,0.6621461349897533,0.6651755404542015,0.7333042842233631,0.735310705733304,0.7504403816904535,0.7540146648262473
MesAcr+BF4-,20,0.6785795259572664,0.6811156412255822,0.7533902456820923,0.7563539694642172,0.7701165520829384,0.7729265010039171
CuCl,19,0.5049934112309737,0.5083040066662315,0.6245633610620842,0.6287427111917961,0.6664531598263401,0.6709463114693944
Diacetyl,12,0.6505728280740098,0.6505728280740098,0.7373747297367116,0.7387021990067647,0.751141491444514,0.7524321291481951
T(p-OMe)PPCo,9,0.706042067049705,0.7097760473782816,0.7723687459853423,0.7746177568361454,0.7797112384351123,0.7817091817984232
Electrode,9,0.6581655328558461,0.6611124766061752,0.7262051985875632,0.7293742669555427,0.728917336767454,0.7349006997961992
