Condition,Number,"radius=2,
nBits=2048","radius=2,
nBits=4096","radius=3,
nBits=2048","radius=3,
nBits=4096","radius=4,
nBits=2048","radius=4,
nBits=4096"
K3FeCN6,23,0.8571428571428572,0.8604651162790697,0.896551724137931,0.8983050847457628,0.90625,0.9104477611940298
MesAcr+BF4-,20,0.8709677419354839,0.896551724137931,0.9101123595505618,0.9230769230769231,0.9215686274509804,0.9318181818181819
CuCl,19,0.7045454545454546,0.7073170731707317,0.796875,0.796875,0.8333333333333334,0.8333333333333334
Diacetyl,12,0.8333333333333334,0.8333333333333334,0.8793103448275862,0.8793103448275862,0.890625,0.890625
T(p-OMe)PPCo,9,0.868421052631579,0.8717948717948718,0.9074074074074074,0.9090909090909091,0.9152542372881356,0.9166666666666666
Electrode,9,0.8409090909090909,0.8444444444444444,0.8771929824561404,0.8793103448275862,0.8727272727272728,0.8833333333333333
