,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,Sum
0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.0,4.492866480021449,5.170335676595809,3.675574962454148,4.915626880653024,4.371394182490513,5.474625253126043,2.8808363567394313,3.2913423221702107,3.5873177044941937,4.643180824104428,4.482486038175114,3.052935378365164,50.03852205938952
1,COc1ccc(O)c(C(C)(C)C)c1,4.492866480021449,0.0,4.55257306928804,2.909579595589022,4.868559897295942,4.459877184627304,5.386121374771356,2.815089712314451,5.447328060260263,5.433618571952102,4.377140430930453,4.143354223613086,3.2907733297162904,52.17688193037976
2,Cc1ccc(O)c(C)c1,5.170335676595809,4.55257306928804,0.0,3.508779854168659,4.209248248178669,5.543534896465595,4.072824769367667,3.988712539447837,3.920038432514399,4.436832347478428,2.7450744619268863,1.9036405154111897,2.760550469614404,46.81214528045757
3,Cc1ccc(O)c(C(C)(C)C)c1,3.675574962454148,2.909579595589022,3.508779854168659,0.0,4.5521503278090725,4.282486464833859,5.16951978607812,1.9536658964761575,4.409934116017769,4.61391374880044,3.3805616770171683,3.040992123001889,2.4121427806997042,43.90930133294601
4,Cc1cc(O)c(C(C)C)cc1C,4.915626880653024,4.868559897295942,4.209248248178669,4.5521503278090725,0.0,2.4059649344444303,1.1235129319782884,3.8767236719776554,4.938342233390075,5.226475120938965,4.1585623180373466,3.880018040093971,2.8424986587811567,46.997683263578594
5,Cc1cc(O)c(C(C)(C)C)cc1C,4.371394182490513,4.459877184627304,5.543534896465595,4.282486464833859,2.4059649344444303,0.0,3.3031412056066998,3.242037391305845,5.766415275475251,5.9412635590777185,5.151524946447499,4.956780727960765,3.409037182002714,52.83345795073819
6,CCc1cc(C)c(C)cc1O,5.474625253126043,5.386121374771356,4.072824769367667,5.16951978607812,1.1235129319782884,3.3031412056066998,0.0,4.517314066195552,5.045756128149987,5.380683162685448,4.2690325088136705,3.937552422426519,3.260026458481445,50.940110067680806
7,CCc1ccc(O)c(C(C)(C)C)c1,2.8808363567394313,2.815089712314451,3.988712539447837,1.9536658964761575,3.8767236719776554,3.242037391305845,4.517314066195552,0.0,4.3729967539908134,4.619873318456384,3.6189015078285833,3.316117818004642,2.0610680166104363,41.26333704934779
8,CC(C)(C)c1ccc(O)c(-c2ccccc2)c1,3.2913423221702107,5.447328060260263,3.920038432514399,4.409934116017769,4.938342233390075,5.766415275475251,5.045756128149987,4.3729967539908134,0.0,1.2627659765031825,3.0644417071422545,3.070759927393821,2.9222865590938913,47.512407492101914
9,COc1ccc(-c2cc(C(C)(C)C)ccc2O)cc1,3.5873177044941937,5.433618571952102,4.436832347478428,4.61391374880044,5.226475120938965,5.9412635590777185,5.380683162685448,4.619873318456384,1.2627659765031825,0.0,3.127629004757559,3.3669958759515395,3.208189698004488,50.20555808910045
10,CCc1ccc(-c2cc(C)ccc2O)cc1,4.643180824104428,4.377140430930453,2.7450744619268863,3.3805616770171683,4.1585623180373466,5.151524946447499,4.2690325088136705,3.6189015078285833,3.0644417071422545,3.127629004757559,0.0,0.9250773773298588,2.2245558288897063,41.685682593225415
11,Cc1ccc(O)c(-c2ccccc2)c1,4.482486038175114,4.143354223613086,1.9036405154111897,3.040992123001889,3.880018040093971,4.956780727960765,3.937552422426519,3.316117818004642,3.070759927393821,3.3669958759515395,0.9250773773298588,0.0,1.879689876630334,38.90346496599273
12,Average,3.052935378365164,3.2907733297162904,2.760550469614404,2.4121427806997042,2.8424986587811567,3.409037182002714,3.260026458481445,2.0610680166104363,2.9222865590938913,3.208189698004488,2.2245558288897063,1.879689876630334,0.0,33.323754236889734
