,SMILES,0,1,2,3,4,5,6,7,8,9,Sum
0,CC(=O)c1cc(C)ccc1O,0.0,4.933992541114827,5.776795031910117,3.6137313763247145,2.4757789832741652,3.757370970741287,4.295185623679747,3.933817189804357,3.632436278577214,2.5103539584473262,34.929461953873755
1,CC(C)(C)c1ccc(O)c(Br)c1,4.933992541114827,0.0,5.909322697879381,5.853701201166163,5.126972589944334,3.3473400663993775,3.53442923790941,3.8507443352720623,3.9477604152512917,3.205944290930125,39.71020737586698
2,CC(=O)c1cc(C)c(Br)cc1O,5.776795031910117,5.909322697879381,0.0,6.288331560142999,5.594691684065318,6.401587297642596,6.676716095949075,6.438842541330016,6.072388107308904,4.96211580473741,54.120790820965816
3,Cc1ccc(O)c(S(C)(=O)=O)c1,3.6137313763247145,5.853701201166163,6.288331560142999,0.0,3.3790907837639295,4.6711588590724675,5.140577340540041,5.179568951848358,4.538039692454183,3.5360050645878705,42.20020482990072
4,CCOC(=O)c1cc(C)ccc1O,2.4757789832741652,5.126972589944334,5.594691684065318,3.3790907837639295,0.0,4.2325970103516894,4.496246566569268,3.403214533978801,3.447497060498242,2.4790034155263094,34.63509262797206
5,CC(C)(C)c1ccc(O)c(C#N)c1,3.757370970741287,3.3473400663993775,6.401587297642596,4.6711588590724675,4.2325970103516894,0.0,2.3762225012606093,2.830862559180493,2.298035111172859,2.1998831464357242,32.1150575222571
6,CC(C)(C)c1ccc(O)c(Cl)c1,4.295185623679747,3.53442923790941,6.676716095949075,5.140577340540041,4.496246566569268,2.3762225012606093,0.0,3.2012510536202985,2.90703740618728,2.6891380423418294,35.31680386805756
7,CC(C)(C)c1ccc(O)c(C=NO)c1,3.933817189804357,3.8507443352720623,6.438842541330016,5.179568951848358,3.403214533978801,2.830862559180493,3.2012510536202985,0.0,2.0071849199426204,2.381385580962951,33.22687166593995
8,CC(C)(C)c1ccc(O)c(C=O)c1,3.632436278577214,3.9477604152512917,6.072388107308904,4.538039692454183,3.447497060498242,2.298035111172859,2.90703740618728,2.0071849199426204,0.0,1.9570304282397546,30.807409419632346
9,Average,2.5103539584473262,3.205944290930125,4.96211580473741,3.5360050645878705,2.4790034155263094,2.1998831464357242,2.6891380423418294,2.381385580962951,1.9570304282397546,0.0,25.920859732209298
