,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Sum
0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.0,5.677933694909104,6.956375440379453,4.492866480021449,5.89350954458333,6.013451409217344,5.170335676595809,3.675574962454148,5.687340899471782,5.179065912993056,5.938524776248128,6.018160541439768,6.136809265744837,6.09075320084145,5.9430715785835195,7.031506155861623,5.9006682215403385,5.875604536268486,6.047011825391327,6.229093901732155,6.280850996207918,7.005646326031086,6.981763911746034,5.054440854194798,135.28036011245695
1,C=CCc1ccc(O)c(OC)c1,5.677933694909104,0.0,4.007988708157869,5.036153392694429,0.9266070469743203,3.7037852706956245,2.243054465994578,4.466133468964193,0.38498139020842187,4.172763441255626,1.0546857147667168,3.8119823471982466,1.2995236124916452,1.4384157705520162,2.0600525067420494,4.026935851522066,4.104343441649979,1.0381047929907898,4.385544158478256,4.85734321715332,4.345859880300349,4.042238973772308,2.823787736941262,1.842415946379071,71.75063483079225
2,COc1ccc(O)cc1,6.956375440379453,4.007988708157869,0.0,5.251356345375812,3.9355168733617605,3.0284048261846883,3.3053198012126916,5.804697191968927,4.036224030726436,4.176470132080869,4.2285899517495436,3.262599714008273,4.189507467779154,4.291134075384146,4.295462716570828,0.5474161589072888,3.8418830484109106,4.313388125810703,4.249544593149099,3.627430896541755,2.779449100001977,1.0937102257141198,3.657344661418044,2.707869585152087,87.58768367004643
3,COc1ccc(O)c(C(C)(C)C)c1,4.492866480021449,5.036153392694429,5.251356345375812,0.0,5.053171291483778,5.992784053486067,4.55257306928804,2.909579595589022,5.001023786205959,4.904332947829796,5.151144061020843,6.052820599072822,5.335079399430977,5.472045381831338,5.297566493159647,5.199025045626825,6.087122543041612,5.3020313010934474,6.293156899705744,4.301751502632911,4.571814796500082,5.211047517301665,4.7102888218922185,4.0992983646355405,116.27803368892005
4,COc1cc(C)ccc1O,5.89350954458333,0.9266070469743203,3.9355168733617605,5.053171291483778,0.0,4.026605483714168,2.1049547113933875,4.468683919057755,1.0098432164168887,4.216527302270667,1.5544737376536064,4.2151961363236525,1.4001370072325807,1.3299354284354765,2.1366942795713744,4.033663103020988,4.5353900804188365,1.6560796374521893,4.940340195682431,4.872580609753424,4.372837127343065,4.175004657274395,2.6323904441431596,2.0768033660519536,75.56694519961317
5,CCCCc1ccc(O)cc1,6.013451409217344,3.7037852706956245,3.0284048261846883,5.992784053486067,4.026605483714168,0.0,2.91339497505859,5.493682890642692,3.7731514314779067,3.6222707744826175,4.1202117235225355,0.4717545525378379,4.159635443411084,4.158609205867646,4.127527143556227,2.9888456237828507,1.9315837610429474,3.87459863606333,2.02669471107086,4.763452179756594,3.920909323534735,2.8904010214826394,5.2471052378156315,2.598094075967879,85.8469537543725
6,Cc1ccc(O)c(C)c1,5.170335676595809,2.243054465994578,3.3053198012126916,4.55257306928804,2.1049547113933875,2.91339497505859,0.0,3.508779854168659,2.317597208988862,3.6074490222000963,2.9108604656969064,3.1601727981351595,2.748209438694397,2.668738240177681,2.861880881929617,3.426621282426891,3.686150313150661,2.838377072901698,4.167333493384183,4.721151641925062,4.1732803022262575,3.587015121214455,3.759024820585341,1.735707610389206,76.16798226773822
7,Cc1ccc(O)c(C(C)(C)C)c1,3.675574962454148,4.466133468964193,5.804697191968927,2.909579595589022,4.468683919057755,5.493682890642692,3.508779854168659,0.0,4.463303657976752,4.599620585836395,4.805821694795133,5.5777403585230845,4.8780419914826565,4.865755454124357,5.025770318697818,5.822913003967545,5.839372083352316,4.807565920517214,6.10819907537983,5.457762574976961,5.539497001551378,5.869765716220092,5.409750894545481,3.968317107162147,113.36632932195455
8,CCCc1ccc(O)c(OC)c1,5.687340899471782,0.38498139020842187,4.036224030726436,5.001023786205959,1.0098432164168887,3.7731514314779067,2.317597208988862,4.463303657976752,0.0,4.328893222803986,1.1800058326920126,3.8556274683353937,1.4441392360267007,1.6681517803445185,2.099728078506211,4.028337856762538,4.228652845772361,1.1452294316338436,4.40053381878513,4.924810310322336,4.413528408621678,4.024056242960657,2.739825821518363,1.914687239991214,73.06967321654993
9,COC(=O)c1cc(C)ccc1O,5.179065912993056,4.172763441255626,4.176470132080869,4.904332947829796,4.216527302270667,3.6222707744826175,3.6074490222000963,4.599620585836395,4.328893222803986,0.0,4.250592019876232,3.8298780640155003,4.097695345825771,3.8784511667674657,4.949011511757725,4.299983876344966,4.060893618364804,4.06185099745172,4.50711911952972,2.78215646961646,2.769591779003693,4.437311446068081,5.3323086898905165,2.929688940355675,94.99392638662142
10,COc1cc(CCC(C)=O)ccc1O,5.938524776248128,1.0546857147667168,4.2285899517495436,5.151144061020843,1.5544737376536064,4.1202117235225355,2.9108604656969064,4.805821694795133,1.1800058326920126,4.250592019876232,0.0,4.210195982465718,1.2245292622473105,1.4158588015480225,2.373697894473181,4.237857753384133,4.335302471452353,0.8509738390296356,4.69289695125136,4.711489211719353,4.365420038131467,4.225585289071541,2.770187132045629,2.1654156436875396,76.7743202485289
11,CCCCCc1ccc(O)cc1,6.018160541439768,3.8119823471982466,3.262599714008273,6.052820599072822,4.2151961363236525,0.4717545525378379,3.1601727981351595,5.5777403585230845,3.8556274683353937,3.8298780640155003,4.210195982465718,0.0,4.310861825365443,4.355994046645299,4.255252698133012,3.1573217429908564,1.923615276957869,3.941908439560886,1.703158500043111,4.901677460712984,4.0747520744601955,2.9747863455593166,5.3738572685747865,2.7504295306652726,88.18974377172451
