Condition,Number,Distance_avg,Distance_max
K3FeCN6,23,2.816788829533308,5.054440854194798
MesAcr+BF4-,20,3.464990598586475,5.72772260292626
CuCl,19,2.245463969907075,5.722110596126385
Diacetyl,12,2.776979519740811,3.409037182002714
T(p-OMe)PPCo,9,2.927569539488096,4.446372928548638
Electrode,9,2.8800955258010332,4.96211580473741
AllPhenols,4665,5.006335880648421,18.215869082865968
