Condition,Number,ECFP Tanimoto_avg,ECFP Tanimoto_max,ECFP Tanimoto_min
K3FeCN6,23,0.6621461349897533,0.8571428571428572,0.0
MesAcr+BF4-,20,0.6785795259572664,0.8709677419354839,0.22916666666666663
CuCl,19,0.5049934112309737,0.7045454545454546,0.1724137931034483
Diacetyl,12,0.6505728280740098,0.8333333333333334,0.3529411764705882
T(p-OMe)PPCo,9,0.706042067049705,0.868421052631579,0.3846153846153846
Electrode,9,0.6581655328558461,0.8409090909090909,0.375
AllPhenols,4665,0.828373572338157,0.9540229885057472,0.0
