Condition,Number,"radius=2,
nBits=2048
(10.93%)","radius=2,
nBits=4096
(10.86%)","radius=3,
nBits=2048
(8.64%)","radius=3,
nBits=4096
(8.67%)","radius=4,
nBits=2048
(7.56%)","radius=4,
nBits=4096
(7.60%)"
K3FeCN6,23,5.269410299306606,5.336413574077548,4.422251771838256,4.203194267476419,4.1666897631384,3.9680901978724044
MesAcr+BF4-,20,3.8684899103842296,3.892705768204301,3.354800460205858,3.277037997266661,3.3110967481142826,3.162739498396538
CuCl,19,3.3331839098431084,3.08795903990072,2.6212987325364274,2.411843945992472,2.5595697201828806,2.307917874786437
Diacetyl,12,3.3326575272657646,3.06533072199398,2.807453819798233,2.5491878495686793,2.8208221877895583,2.4890868826518973
T(p-OMe)PPCo,9,5.920380085153649,5.826478551359162,4.625098145255403,4.028061314760687,4.2772445636458825,3.6918559199989556
Electrode,9,3.5626385860785366,3.2680604558416726,3.156734078070848,2.8075768370370304,3.0671360838389075,2.636874571422704
