Condition,Number,"2
(10.93%)","3
(14.96%)","4
(17.80%)","5
(20.48%)","6
(22.86%)","7
(24.93%)","8
(26.94%)"
K3FeCN6,23,5.269410299306606,8.43184879605475,9.405614881513921,2.7752092109157993,1.1348840784373473,0.32533603247791576,0.05887948726919115
MesAcr+BF4-,20,3.8684899103842296,4.099112402567368,1.8537602089047298,0.7706208633194935,0.19805329073367708,0.02855036987788245,0.002018803227711797
CuCl,19,3.3331839098431084,1.4902978542440408,0.5070702545975113,0.14091380876052947,0.024120537672715072,0.002829656962885032,0.00015852937413522784
Diacetyl,12,3.3326575272657646,1.4212184578310996,0.48459507618159064,0.10276133245996925,0.01618762761428947,0.0010290790277426968,2.753756919737356e-05
T(p-OMe)PPCo,9,5.920380085153649,8.11829506640206,3.6874743234253287,0.8820608180114116,0.15131150816522446,0.00873055080525022,0.0001934219706021762
Electrode,9,3.5626385860785366,1.403393930325285,0.5208942905384425,0.10131454671757724,0.016292362552098285,0.0017675186902519758,0.00017609521966240212
