Condition,Number,"2
(32.60%)","3
(32.60%)","4
(42.70%)","5
(51.12%)","6
(57.86%)","7
(62.87%)","8
(67.11%)"
K3FeCN6,23,4.143509598043828,3.2075129901450503,1.4781331834474682,1.1179874797679843,0.5677983374233437,0.21287021054801275,0.021829160230193385
MesAcr+BF4-,20,6.430956341160752,7.5016410127510955,6.561772281824767,4.578613105627228,3.4554904982608217,1.666731568962786,0.47928324516355314
CuCl,19,3.5159039457424295,1.965256743368369,0.8062728137036033,0.38870195296525867,0.12784506412511762,0.02111663551210098,0.0016035405047720324
Diacetyl,12,4.459198482988258,3.967420316329568,1.944156013178268,0.931310955036759,0.19453570868726738,0.019684697735765862,0.0010688886281109374
T(p-OMe)PPCo,9,3.2207955272984625,1.3168930834419001,0.3122087299351877,0.1767784999278191,0.027532427752021714,0.0022627422645050458,4.260983751205518e-05
Electrode,9,3.6293113947129974,2.69828754295954,0.7343931036268172,0.2874708184395,0.13543079493248159,0.018168423437564803,0.0027670941403290356
