,0
1934,28
57,28
1518,27
1032,27
914,27
555,27
452,27
1409,27
1558,27
737,27
508,27
1664,27
1169,27
638,27
1372,27
1733,27
1140,26
625,26
979,26
1414,26
1299,26
1176,26
963,26
1379,26
762,26
1331,26
1784,26
194,26
1098,26
364,26
196,26
35,26
934,26
678,26
400,26
575,26
429,25
1318,25
563,25
497,25
1256,25
1435,25
819,25
1980,25
1056,25
347,25
930,25
2027,25
1443,25
673,25
1742,25
257,25
942,24
1936,24
1451,24
1307,24
1083,24
344,24
221,24
1473,24
1156,24
2035,24
1167,24
1747,24
680,24
1089,24
1598,24
1604,24
1669,24
1370,24
520,24
154,24
723,24
1258,24
464,24
1292,24
1290,23
1625,23
1731,23
798,23
500,23
1147,23
1494,23
437,23
626,23
1328,23
1262,23
1356,23
1120,23
380,23
262,23
117,23
1507,23
480,23
1734,23
661,23
12,23
1431,23
670,23
485,23
1921,23
1031,23
1082,23
1213,22
970,22
1658,22
1879,22
527,22
764,22
1634,22
125,22
1458,22
1979,22
1763,22
655,22
410,22
190,22
782,22
84,22
50,22
944,22
631,22
1154,22
76,22
1101,22
1506,21
27,21
422,21
851,21
431,21
185,21
1798,21
1109,21
195,21
1760,21
1352,21
1351,21
595,21
1577,21
1652,21
1158,21
356,21
290,21
362,21
1314,21
446,21
1931,21
1621,21
1121,21
899,20
1149,20
895,20
2018,20
1065,20
1036,20
1542,20
976,20
1520,20
1064,20
1024,20
406,20
658,20
155,20
534,20
11,20
66,20
689,20
58,20
340,20
1627,19
641,19
1309,19
1482,19
1714,19
38,19
1932,19
980,19
68,19
1958,19
44,19
952,19
1539,19
632,19
1955,19
1913,19
1172,19
1748,19
442,19
390,19
487,19
358,18
122,18
1190,18
1219,18
363,18
1364,18
404,18
1395,18
369,18
949,18
1126,18
776,18
600,18
1624,18
16,18
143,18
738,18
571,18
859,18
753,18
1000,18
1332,18
313,18
312,18
2006,18
1180,18
1981,18
839,18
1524,18
1786,18
1324,18
1288,17
544,17
677,17
1908,17
482,17
1702,17
953,17
348,17
29,17
1073,17
136,17
1046,17
64,17
63,17
1291,17
110,17
1644,17
832,17
917,17
108,17
609,17
850,17
2016,17
208,17
1418,17
1593,17
524,17
1419,17
1752,17
288,17
1890,17
542,17
1672,17
840,16
315,16
465,16
338,16
1862,16
224,16
95,16
1146,16
213,16
724,16
826,16
1814,16
1707,16
1010,16
1427,16
621,16
755,16
742,16
815,16
948,16
1650,16
1718,16
1301,16
275,16
424,16
19,16
134,16
540,16
411,16
783,16
1899,16
649,16
1212,16
1858,16
21,16
2011,16
1235,15
399,15
1875,15
1898,15
1429,15
1954,15
1239,15
484,15
100,15
1639,15
1878,15
1177,15
1846,15
1705,15
1227,15
1116,15
1688,15
710,15
1198,15
1930,15
268,15
705,15
1903,15
946,15
1546,15
955,15
2002,15
1534,15
1777,15
1761,15
496,15
2008,15
848,15
989,15
876,15
805,15
994,15
904,15
377,15
951,15
1782,15
860,15
1609,15
1964,15
1250,15
911,15
501,14
973,14
339,14
1369,14
1368,14
1706,14
2038,14
1220,14
1061,14
1843,14
176,14
1203,14
83,14
775,14
449,14
2029,14
1889,14
1701,14
1471,14
1815,14
1939,14
1529,14
1852,14
1376,14
376,14
541,14
1615,14
1588,14
170,14
495,14
1818,14
89,14
1263,14
712,14
767,14
1228,14
1105,14
1014,13
1780,13
1093,13
434,13
1289,13
2023,13
834,13
653,13
1401,13
471,13
1102,13
1297,13
278,13
1532,13
2030,13
1986,13
1956,13
1678,13
1022,13
733,13
1237,13
577,13
1252,13
200,13
1561,13
242,13
711,13
300,13
1995,13
503,13
1141,13
1758,13
1178,13
1078,13
2025,13
1924,13
297,13
1175,12
345,12
349,12
105,12
1432,12
1182,12
535,12
2045,12
1420,12
2031,12
1183,12
865,12
1740,12
574,12
174,12
823,12
1242,12
1708,12
1962,12
1254,12
307,12
1231,12
1499,12
1946,12
1940,12
987,12
1987,12
554,12
1800,12
1636,12
367,12
573,12
2003,12
1472,12
1915,12
1896,12
1833,12
785,12
1902,12
1724,11
1709,11
177,11
115,11
1716,11
254,11
1283,11
483,11
1787,11
256,11
214,11
1207,11
1340,11
691,11
844,11
1015,11
1134,11
852,11
918,11
780,11
99,11
320,11
744,11
1466,11
387,11
957,11
1626,11
334,11
829,11
1620,11
1137,11
263,11
630,11
1528,11
1551,11
941,11
1084,11
385,11
873,11
937,11
636,11
88,11
7,11
982,11
2020,11
1929,10
986,10
52,10
713,10
585,10
505,10
1037,10
1785,10
945,10
943,10
1969,10
2001,10
1008,10
1293,10
492,10
1300,10
386,10
1511,10
992,10
388,10
1596,10
332,10
1296,10
593,10
1997,10
821,10
2039,10
444,10
103,10
525,10
1139,10
1142,10
1674,10
453,10
1363,10
1159,10
1868,10
622,10
192,10
321,10
2046,10
1448,10
1411,10
886,10
603,10
907,10
168,10
1605,10
236,10
1768,10
900,10
772,10
96,10
163,10
1751,10
1323,10
223,10
1579,10
1377,10
778,9
1165,9
1294,9
1552,9
3,9
2043,9
1320,9
182,9
827,9
230,9
825,9
799,9
820,9
1585,9
1781,9
1304,9
1302,9
20,9
1550,9
1517,9
1797,9
1842,9
1827,9
32,9
1081,9
683,9
1468,9
594,9
293,9
1906,9
1699,9
1099,9
130,9
417,9
1486,9
1657,9
1117,9
1406,9
128,9
1695,9
267,9
1439,9
1179,9
624,9
260,9
1872,9
584,9
405,9
1570,9
1614,9
769,9
150,9
972,9
148,9
1813,9
971,9
1009,9
553,9
1246,9
1023,9
732,9
1033,9
1234,9
373,9
159,9
1949,9
1945,9
1266,9
272,8
258,8
454,8
1359,8
298,8
274,8
336,8
1628,8
1425,8
494,8
1612,8
1355,8
408,8
1638,8
311,8
132,8
1895,8
1942,8
37,8
983,8
15,8
1112,8
568,8
1961,8
1947,8
1240,8
1891,8
1130,8
993,8
721,8
722,8
894,8
