Condition,Number,ConvexHull
K3FeCN6,23,4.143508986474009
MesAcr+BF4-,20,6.430956548009373
CuCl,19,3.5159041614419904
Diacetyl,12,4.459198271740805
T(p-OMe)PPCo,9,3.2207949846570436
Electrode,9,3.6293112028379553
AllPhenols,4665,17.989856626253392
