Condition,Number,ECFP ConvexHull
K3FeCN6,23,5.269410299306606
MesAcr+BF4-,20,3.8684899103842296
CuCl,19,3.3331839098431084
Diacetyl,12,3.3326575272657646
T(p-OMe)PPCo,9,5.920380085153649
Electrode,9,3.5626385860785366
AllPhenols,4665,15.178196162266838
