Condition,Number,Area
K3FeCN6,23,29.5507362378688
MesAcr+BF4-,20,30.27293464107966
CuCl,19,15.243988152257213
Diacetyl,12,18.29700150815451
T(p-OMe)PPCo,9,29.05138981390773
Electrode,9,30.335676261617497
AllPhenols,4665,71.03578318051643
