Condition,Number,Range
K3FeCN6,23,36.22832911362168
MesAcr+BF4-,20,52.50463186961423
CuCl,19,34.14856474863549
Diacetyl,12,28.231906120952743
T(p-OMe)PPCo,9,26.795494458643724
Electrode,9,35.016544678136306
AllPhenols,4665,234.0981891857267
