,min,max,Q1,Q2,Q3,std,Q3-Q1,range
m_1_L,-0.2899852731037733,1.1348312976414283,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,0.5763666816190578,0.0,1.4248165707452016
m_1_B1,-0.3418464888768991,3.638862368867069,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,1.6102760186383156,0.0,3.980708857743968
m_1_B5,-0.284520038265269,0.3428166647447938,-0.284520038265269,-0.284520038265269,-0.284520038265269,0.2537701913325169,0.0,0.6273367030100627
p_L,-0.4672594560292097,-0.0983987335888067,-0.4672594560292097,-0.0983987335888067,-0.0983987335888067,0.1926312298096519,0.368860722440403,0.368860722440403
p_B1,0.1960578744864948,3.092226286391174,0.1960578744864948,3.092226286391174,3.092226286391174,1.5124746251919077,2.896168411904679,2.896168411904679
p_B5,-0.5043416996906498,-0.1768971478874357,-0.5043416996906498,-0.1768971478874357,-0.1768971478874357,0.17100234010010273,0.3274445518032141,0.3274445518032141
m_2_L,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,5.822058658345462e-17,0.0,0.0
m_2_B1,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,1.1644117316690923e-16,0.0,0.0
m_2_B5,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,0.0,0.0,0.0
o_L,-0.3621162120724057,0.4228647855700849,-0.3062953411289398,-0.1213887061287087,-0.08650066178904225,0.28116308562386494,0.21979467933989755,0.7849809976424906
o_B1,-0.0265180379900691,1.5092237297695572,-3.97316493865157e-05,0.8472660712524768,1.244440666362725,0.634857208620042,1.2444803980121115,1.5357417677596263
o_B5,-0.7017814069947752,0.0957755898285549,-0.6522876217309161,-0.2973464759815262,-0.14745101203955258,0.308829871184477,0.5048366096913636,0.7975569968233301
Charge_O,-1.1380229742902364,0.888933985307092,-0.5971249349624137,0.3527574319516875,0.7773744844344451,0.817545163862435,1.3744994193968587,2.0269569595973285
Charge_next_O,-0.4388655063503509,1.4711475424702858,0.12692507678991585,0.4680466940410837,1.2054766537258073,0.71449326492712,1.0785515769358913,1.9100130488206366
Charge_o_1,-0.5779727206880891,0.8849295160937568,-0.060059459592254644,0.3858390396570744,0.7633595552969141,0.5665545136690819,0.8234190148891688,1.4629022367818458
Charge_m_1,-0.5329868055105877,0.734558383951063,-0.49588421066455934,-0.3600418855829237,-0.29368067159349287,0.4751197912432272,0.20220353907106647,1.2675451894616507
Charge_p,0.5802201349322891,0.7431183608905628,0.6414829390999861,0.6616211920019183,0.7016121891669427,0.05643929974380084,0.060129250066956574,0.16289822595827375
Charge_m_2,-0.4646170829023442,-0.1761481786542419,-0.4292522090369742,-0.3004715671862324,-0.21715957297946525,0.11701455682633641,0.21209263605750894,0.28846890424810234
Charge_o_2,-1.3466018543000216,0.118655357058161,-0.605465558053479,-0.4465174633007732,-0.014939353163817698,0.5212410324184905,0.5905262048896613,1.4652572113581825
HOMO,-1.8836040801629248,0.1017384651444808,-1.4451916103396254,-0.907581382312639,-0.5222362446752296,0.704765701171437,0.9229553656643958,1.9853425453074056
MolLogP,-1.3879340297702472,0.3085678689975309,-0.8199359344258428,-0.3778128351647586,-0.014963094704397079,0.608733374026242,0.8049728397214457,1.696501898767778
MolWt,-1.5138987508922763,-0.5843856548946937,-1.2012272187017543,-1.1077931369087366,-0.7958339880765608,0.33846846974175826,0.4053932306251935,0.9295130959975826
num_N,-1.164758519549028,-0.4205319076196737,-1.164758519549028,-1.164758519549028,-0.7926452135843509,0.34762777896234587,0.37211330596467707,0.7442266119293544
num_O,-1.3285968464675062,0.2949537203356154,-1.3285968464675062,-0.5168215630659454,-0.110933921365165,0.6747552580977924,1.2176629251023412,1.6235505668031216
num_S,-0.3803344302566363,1.6637440457194104,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,0.8268704564202745,0.0,2.044078475976047
num_F,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,0.0,0.0,0.0
num_Cl,-0.3968360899009251,1.4288447378977098,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,0.7385242578021706,0.0,1.825680827798635
num_Br,-0.3518791269209797,2.488114172536408,-0.3518791269209797,-0.3518791269209797,1.0681175228077142,1.3265590710320256,1.419996649728694,2.839993299457388
