,min,max,Q1,Q2,Q3,std,Q3-Q1,range
m_1_L,-0.2899852731037733,0.4440111421286035,-0.2899852731037733,-0.2899852731037733,0.2605120383205093,0.34410282694387256,0.5504973114242826,0.7339964152323768
m_1_B1,-0.3418464888768991,1.837067833256641,-0.3418464888768991,-0.3418464888768991,1.292339252723256,1.0214907898116539,1.634185741600155,2.17891432213354
m_1_B5,-0.284520038265269,0.3956450186824832,-0.284520038265269,-0.284520038265269,0.22560375444554515,0.3188662969287997,0.5101237927108142,0.6801650569477522
p_L,-0.4672594560292097,-0.0710757171117397,-0.4672594560292097,-0.4672594560292097,-0.0983987335888067,0.18991394538432357,0.368860722440403,0.39618373891747
p_B1,-0.3600064605992036,3.092226286391174,0.1960578744864948,0.1960578744864948,2.3913535307102416,1.4197787656589937,2.1952956562237467,3.4522327469903775
p_B5,-0.5043416996906498,-0.1768971478874357,-0.5043416996906498,-0.5043416996906498,-0.17830854681762198,0.16562230844035367,0.3260331528730278,0.3274445518032141
m_2_L,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,5.760664408413727e-17,0.0,0.0
m_2_B1,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,5.760664408413727e-17,0.0,0.0
m_2_B5,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,0.0,0.0,0.0
o_L,-0.536556433770737,1.3787972004769402,-0.1597655549023414,-0.15453234825139162,0.6426594649099823,0.7071743329771186,0.8024250198123237,1.9153536342476771
o_B1,0.3706565571201789,3.6804448497055815,0.8472660712524768,1.2444406663627252,3.6804448497055815,1.5115218970158641,2.833178778453105,3.3097882925854027
o_B5,-0.6084502690686409,-0.2775489618759824,-0.2909829893047443,-0.28179128632717043,-0.2803771781767745,0.1182020267601599,0.010605811127969822,0.3309013071926585
Charge_O,-0.3683631816891075,0.1995394542370455,-0.21425272796748424,-0.1542553086594596,0.06255878193974357,0.19083842929750272,0.2768115099072278,0.567902635926153
Charge_next_O,-2.137936817340287,-0.444487133079028,-1.6033920199710385,-1.4352825020701685,-0.856344829676353,0.5735324456198301,0.7470471902946856,1.693449684261259
Charge_o_1,-1.5364767506332848,1.1854060315142796,-1.0859176054000312,0.554244806668468,1.0351677738040184,1.1291837177719808,2.1210853792040494,2.7218827821475644
Charge_m_1,-0.6730047206655005,0.9895937533560544,-0.5317645017779793,-0.4817473612215566,0.6122660845662562,0.7192376941950711,1.1440305863442355,1.662598474021555
Charge_p,0.6235213362169321,3.002944678671896,0.6618473374584251,0.7389516308544248,0.7602573596755733,0.8355408266448379,0.09841002221714823,2.379423342454964
Charge_m_2,-1.127815068854266,-0.5459469652072749,-0.6988494092112897,-0.6308479802160184,-0.5703086195570726,0.19272987686483442,0.1285407896542171,0.5818681036469912
Charge_o_2,0.2174429862001405,0.4339171532240625,0.23917567070627527,0.35686645076750856,0.3933704035637783,0.08383178164660005,0.15419473285750301,0.216474167023922
HOMO,0.1572337144892024,1.1464365340588598,0.323719462523366,0.4745971716793276,0.6065718115272426,0.3232266878819663,0.2828523490038766,0.9892028195696574
MolLogP,-0.7341238962854689,0.9682881015981488,-0.18197397014716973,0.18366103096008185,0.6847803580089258,0.5878566368882019,0.8667543281560955,1.7024119978836176
MolWt,-1.84371458340928,-0.2637778188442477,-1.348213689151942,-1.1714366418981832,-0.8000523573018095,0.49697719828981196,0.5481613318501326,1.5799367645650324
num_N,-1.164758519549028,-1.164758519549028,-1.164758519549028,-1.164758519549028,-1.164758519549028,2.304265763365491e-16,0.0,0.0
num_O,-1.3285968464675062,-0.5168215630659454,-1.3285968464675062,-1.3285968464675062,-1.3285968464675062,0.34566634689573045,0.0,0.8117752834015608
num_S,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,0.0,0.0,0.0
num_F,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,0.0,0.0,0.0
num_Cl,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,1.1521328816827454e-16,0.0,0.0
num_Br,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,0.0,0.0,0.0
