Condition,Number,Area
K3FeCN6,23,148.7226379735281
MesAcr+BF4-,20,213.87742964489323
CuCl,19,96.83585436721847
Diacetyl,12,149.45624579170175
T(p-OMe)PPCo,9,107.79640504039884
Electrode,9,196.9281379684394
AllPhenols,4665,454.3949312560109
